section,chapterFrom,chapterTo,title
1,1,5,Live animals; animal products
2,6,14,Vegetable products
3,15,15,Animal or vegetable fats and oils
4,16,24,Prepared foodstuffs; beverages; tobacco
5,25,27,Mineral products
6,28,38,Products of the chemical or allied industries
7,39,40,Plastics and articles thereof; rubber and articles thereof
8,41,43,"Raw hides and skins, leather, furskins"
9,44,46,Wood and articles of wood; cork; basketware
10,47,49,Pulp of wood; paper and paperboard
11,50,63,Textiles and textile articles
12,64,67,"Footwear, headgear, umbrellas"
13,68,70,"Articles of stone, plaster, cement, ceramic products, glass"
14,71,71,"Natural or cultured pearls, precious stones and metals"
15,72,83,Base metals and articles of base metal
16,84,85,Machinery and mechanical appliances; electrical equipment
17,86,89,"Vehicles, aircraft, vessels and associated transport equipment"
18,90,92,"Optical, photographic, measuring, medical instruments; clocks"
19,93,93,Arms and ammunition
20,94,96,Miscellaneous manufactured articles
21,97,97,"Works of art, collectors' pieces and antiques"
